Previous.National.Ranking,Name,Hometown,Position,Height.Weight,Rating,All Ratings,National.Ranking,Position.Ranking,State.Ranking,player.id,bball.ref.link
47,Dion Ray," Helen Cox (Harvey, LA)  ", DUAL , 6-0 / 185 ,0.864, 582 18 31 ,582,18,31,dion-ray,https://www.sports-reference.com/cfb/players/dion-ray-1.html
49,Nick Johns," Gonzaga  (Washington, DC)  ", PRO , 6-3 / 215 ,0.8615, 614 23 7 ,614,23,7,nick-johns,https://www.sports-reference.com/cfb/players/nick-johns-1.html
44,Alex Delton," Hays (Hays, KS)  ", DUAL , 6-0 / 180 ,0.8609, 628 19 3 ,628,19,3,alex-delton,https://www.sports-reference.com/cfb/players/alex-delton-1.html
52,Tyler Hilinski," Upland (Sherman Oaks, CA)  ", PRO , 6-3 / 190 ,0.8608, 630 24 72 ,630,24,72,tyler-hilinski,https://www.sports-reference.com/cfb/players/tyler-hilinski-1.html
45,Eric Dungey," Lakeridge (Lake Oswego, OR)  ", DUAL , 6-4 / 195 ,0.86, 641 20 2 ,641,20,2,eric-dungey,https://www.sports-reference.com/cfb/players/eric-dungey-1.html
56,Tre Moore III," John Burroughs School (Saint Louis, MO)  ", DUAL , 6-3 / 180 ,0.8599, 645 21 8 ,645,21,8,tre-mooreiii,https://www.sports-reference.com/cfb/players/tre-mooreiii-1.html
50,Tommy Stevens," Decatur Central (Indianapolis, IN)  ", DUAL , 6-4 / 200 ,0.8599, 647 22 9 ,647,22,9,tommy-stevens,https://www.sports-reference.com/cfb/players/tommy-stevens-1.html
54,Michael Dare," Memorial (Elmwood Park, NJ)  ", PRO , 6-5 / 225 ,0.8583, 692 25 16 ,692,25,16,michael-dare,https://www.sports-reference.com/cfb/players/michael-dare-1.html
38,Ryan Willis," Bishop Miege (Mission, KS)  ", PRO , 6-4 / 195 ,0.8577, 701 26 4 ,701,26,4,ryan-willis,https://www.sports-reference.com/cfb/players/ryan-willis-1.html
61,Elijah Sindelar," Caldwell County (Princeton, KY)  ", PRO , 6-4 / 200 ,0.8565, 731 27 3 ,731,27,3,elijah-sindelar,https://www.sports-reference.com/cfb/players/elijah-sindelar-1.html
1,Kyle Allen," Desert Mountain (Scottsdale, AZ)  ", PRO , 6-3 / 200 ,0.9956, 8 1 1 ,8,1,1,kyle-allen,https://www.sports-reference.com/cfb/players/kyle-allen-1.html
7,Deshaun Watson," Gainesville (Gainesville, GA)  ", DUAL , 6-3 / 200 ,0.9794, 42 1 4 ,42,1,4,deshaun-watson,https://www.sports-reference.com/cfb/players/deshaun-watson-1.html
4,Will Grier," Davidson Day (Davidson, NC)  ", PRO , 6-2 / 190 ,0.9765, 48 2 2 ,48,2,2,will-grier,https://www.sports-reference.com/cfb/players/will-grier-1.html
2,Keller Chryst," Palo Alto (Palo Alto, CA)  ", PRO , 6-4 / 220 ,0.9753, 51 3 6 ,51,3,6,keller-chryst,https://www.sports-reference.com/cfb/players/keller-chryst-1.html
6,Jerrod Heard," Guyer (Denton, TX)  ", DUAL , 6-2.5 / 190 ,0.9678, 67 2 10 ,67,2,10,jerrod-heard,https://www.sports-reference.com/cfb/players/jerrod-heard-1.html
11,Brandon Harris," Parkway (Bossier City, LA)  ", DUAL , 6-2.5 / 193 ,0.9651, 75 3 7 ,75,3,7,brandon-harris,https://www.sports-reference.com/cfb/players/brandon-harris-1.html
3,David Cornwell," Norman North (Norman, OK)  ", PRO , 6-5 / 241 ,0.9634, 82 4 1 ,82,4,1,david-cornwell,https://www.sports-reference.com/cfb/players/david-cornwell-1.html
12,Drew Barker," Conner (Hebron, KY)  ", PRO , 6-4 / 210 ,0.9454, 116 5 1 ,116,5,1,drew-barker,https://www.sports-reference.com/cfb/players/drew-barker-1.html
9,Jacob Park," Stratford (Goose Creek, SC)  ", PRO , 6-3 / 202 ,0.9448, 119 6 2 ,119,6,2,jacob-park,https://www.sports-reference.com/cfb/players/jacob-park-1.html
10,Brad Kaaya," Chaminade (West Hills, CA)  ", PRO , 6-4 / 215 ,0.9375, 142 7 14 ,142,7,14,brad-kaaya,https://www.sports-reference.com/cfb/players/brad-kaaya-1.html
8,Sean White," University School (Hollywood, FL)  ", PRO , 6-2 / 204 ,0.9349, 150 8 23 ,150,8,23,sean-white,https://www.sports-reference.com/cfb/players/sean-white-1.html
18,Justice Hansen," Santa Fe (Edmond, OK)  ", DUAL , 6-3.5 / 212 ,0.9338, 155 4 4 ,155,4,4,justice-hansen,https://www.sports-reference.com/cfb/players/justice-hansen-1.html
5,Clayton Thorson," Wheaton North (Wheaton, IL)  ", PRO , 6-4 / 205 ,0.9244, 188 9 7 ,188,9,7,clayton-thorson,https://www.sports-reference.com/cfb/players/clayton-thorson-1.html
20,Caleb Henderson," Lake Braddock (Alexandria, VA)  ", PRO , 6-3 / 230 ,0.9196, 202 10 7 ,202,10,7,caleb-henderson,https://www.sports-reference.com/cfb/players/caleb-henderson-1.html
N/A,Foster Sawyer," Grace Preparatory Academy (Fort Worth, TX)  ", PRO , 6-5 / 205 ,0.9149, 218 11 26 ,218,11,26,foster-sawyer,https://www.sports-reference.com/cfb/players/foster-sawyer-1.html
