Previous.National.Ranking,Name,Hometown,Position,Height.Weight,Rating,All Ratings,National.Ranking,Position.Ranking,State.Ranking,player.id,bball.ref.link
55,Brevin White," Paraclete (Lancaster, CA)  ", PRO , 6-2 / 185 ,0.8946, 340 13 43 ,340,13,43,brevin-white,https://www.sports-reference.com/cfb/players/brevin-white-1.html
30,Connor Noland," Greenwood (Greenwood, AR)  ", PRO , 6-3 / 205 ,0.8946, 341 14 2 ,341,14,2,connor-noland,https://www.sports-reference.com/cfb/players/connor-noland-1.html
45,Jalen Mayden," Sachse (Sachse, TX)  ", DUAL , 6-2 / 215 ,0.8917, 361 16 49 ,361,16,49,jalen-mayden,https://www.sports-reference.com/cfb/players/jalen-mayden-1.html
24,Cammon Cooper," Lehi (Lehi, UT)  ", PRO , 6-4 / 202 ,0.8917, 363 15 5 ,363,15,5,cammon-cooper,https://www.sports-reference.com/cfb/players/cammon-cooper-1.html
36,Devin Leary," Timber Creek (Sicklerville, NJ)  ", PRO , 6-1.5 / 189 ,0.8905, 372 16 8 ,372,16,8,devin-leary,https://www.sports-reference.com/cfb/players/devin-leary-1.html
17,Theo Day," Divine Child (Dearborn, MI)  ", PRO , 6-5 / 197 ,0.8898, 377 17 7 ,377,17,7,theo-day,https://www.sports-reference.com/cfb/players/theo-day-1.html
33,Artur Sitkowski," IMG Academy (Old Bridge, NJ)  ", PRO , 6-5 / 215 ,0.8881, 395 18 70 ,395,18,70,artur-sitkowski,https://www.sports-reference.com/cfb/players/artur-sitkowski-1.html
44,Spencer Petras," Marin  Catholic (Greenbrae, CA)  ", PRO , 6-5 / 207 ,0.8858, 421 19 50 ,421,19,50,spencer-petras,https://www.sports-reference.com/cfb/players/spencer-petras-1.html
48,Allan Walters," The Peddie School (Hightstown, NJ)  ", PRO , 6-1 / 200 ,0.8784, 506 20 10 ,506,20,10,allan-walters,https://www.sports-reference.com/cfb/players/allan-walters-1.html
41,Holton Ahlers," D H Conley (Greenville, NC)  ", DUAL , 6-3.5 / 235 ,0.8755, 543 17 19 ,543,17,19,holton-ahlers,https://www.sports-reference.com/cfb/players/holton-ahlers-1.html
66,Michael Penix," Tampa Bay Tech (Tampa, FL)  ", PRO , 6-2 / 195 ,0.8749, 548 21 86 ,548,21,86,michael-penix,https://www.sports-reference.com/cfb/players/michael-penix-1.html
38,Jack Plummer," Gilbert (Gilbert, AZ)  ", PRO , 6-5 / 212 ,0.8743, 556 22 5 ,556,22,5,jack-plummer,https://www.sports-reference.com/cfb/players/jack-plummer-1.html
39,Gunnar Holmberg," Heritage (Wake Forest, NC)  ", PRO , 6-3 / 180 ,0.8743, 557 23 20 ,557,23,20,gunnar-holmberg,https://www.sports-reference.com/cfb/players/gunnar-holmberg-1.html
42,Kevin Doyle," St. John's College HS (Washington, DC)  ", PRO , 6-4 / 210 ,0.8743, 559 24 6 ,559,24,6,kevin-doyle,https://www.sports-reference.com/cfb/players/kevin-doyle-1.html
37,Jamarye Joiner," Cienega (Tucson, AZ)  ", DUAL , 6-3 / 205 ,0.8734, 584 18 6 ,584,18,6,jamarye-joiner,https://www.sports-reference.com/cfb/players/jamarye-joiner-1.html
106,Trey Lowe III," Central (Bolivar, TN)  ", DUAL , 6-3 / 185 ,0.8719, 610 19 19 ,610,19,19,trey-loweiii,https://www.sports-reference.com/cfb/players/trey-loweiii-1.html
62,Carter Bradley," Providence (Jacksonville, FL)  ", PRO , 6-3 / 208 ,0.8718, 611 25 95 ,611,25,95,carter-bradley,https://www.sports-reference.com/cfb/players/carter-bradley-1.html
46,Brennan Armstrong," Shelby (Shelby, OH)  ", DUAL , 6-1.5 / 210 ,0.871, 619 20 27 ,619,20,27,brennan-armstrong,https://www.sports-reference.com/cfb/players/brennan-armstrong-1.html
64,JT Shrout," William S. Hart Senior (Newhall, CA)  ", PRO , 6-3 / 190 ,0.8696, 641 26 67 ,641,26,67,jt-shrout,https://www.sports-reference.com/cfb/players/jt-shrout-1.html
72,Kaleb Eleby," Pattonville Sr. (Maryland Heights, MO)  ", PRO , 6-2 / 205 ,0.8696, 644 27 10 ,644,27,10,kaleb-eleby,https://www.sports-reference.com/cfb/players/kaleb-eleby-1.html
49,Will Levis," Xavier (Middletown, CT)  ", PRO , 6-4 / 222 ,0.8689, 652 28 2 ,652,28,2,will-levis,https://www.sports-reference.com/cfb/players/will-levis-1.html
51,Tyler DeSue," Bishop Sullivan Catholic (Virginia Beach, VA)  ", DUAL , 6-1 / 185 ,0.8676, 672 21 15 ,672,21,15,tyler-desue,https://www.sports-reference.com/cfb/players/tyler-desue-1.html
2,Max Browne," Skyline (Sammamish, WA)  ", PRO , 6-5 / 210 ,0.9942, 11 1 1 ,11,1,1,max-browne,https://www.sports-reference.com/cfb/players/max-browne-1.html
1,Christian Hackenberg," Fork Union Military (HS) (Fork Union, VA)  ", PRO , 6-4 / 210 ,0.9927, 13 2 1 ,13,2,1,christian-hackenberg,https://www.sports-reference.com/cfb/players/christian-hackenberg-1.html
5,Shane Morris," De La Salle Collegiate (Warren, MI)  ", PRO , 6-3 / 201 ,0.9695, 71 3 1 ,71,3,1,shane-morris,https://www.sports-reference.com/cfb/players/shane-morris-1.html
6,Cooper Bateman," Cottonwood (Salt Lake City, UT)  ", PRO , 6-3 / 195 ,0.9631, 81 4 1 ,81,4,1,cooper-bateman,https://www.sports-reference.com/cfb/players/cooper-bateman-1.html
8,Kevin Olsen," Wayne Hills (Wayne, NJ)  ", PRO , 6-3 / 195 ,0.9582, 93 5 3 ,93,5,3,kevin-olsen,https://www.sports-reference.com/cfb/players/kevin-olsen-1.html
13,Troy Williams," Narbonne (Harbor City, CA)  ", PRO , 6-1 / 190 ,0.9541, 101 6 11 ,101,6,11,troy-williams,https://www.sports-reference.com/cfb/players/troy-williams-1.html
3,Brice Ramsey," Camden County (Kingsland, GA)  ", PRO , 6-3 / 197 ,0.9537, 102 7 10 ,102,7,10,brice-ramsey,https://www.sports-reference.com/cfb/players/brice-ramsey-1.html
7,Cody Thomas," Colleyville Heritage (Colleyville, TX)  ", PRO , 6-5 / 210 ,0.9529, 104 8 13 ,104,8,13,cody-thomas,https://www.sports-reference.com/cfb/players/cody-thomas-1.html
9,Asiantii Woulard," Winter Park (Winter Park, FL)  ", DUAL , 6-4 / 200 ,0.9393, 129 1 22 ,129,1,22,asiantii-woulard,https://www.sports-reference.com/cfb/players/asiantii-woulard-1.html
10,J.T. Barrett," Rider (Wichita Falls, TX)  ", DUAL , 6-2 / 205 ,0.938, 135 2 17 ,135,2,17,jt-barrett,https://www.sports-reference.com/cfb/players/jt-barrett-1.html
17,Hayden Rettig," Cathedral (Los Angeles, CA)  ", PRO , 6-3 / 190 ,0.9348, 143 9 18 ,143,9,18,hayden-rettig,https://www.sports-reference.com/cfb/players/hayden-rettig-1.html
11,Joshua Dobbs," Alpharetta (Alpharetta, GA)  ", PRO , 6-3 / 190 ,0.9305, 158 10 14 ,158,10,14,joshua-dobbs,https://www.sports-reference.com/cfb/players/joshua-dobbs-1.html
25,Malik Zaire," Archbishop Alter (Dayton, OH)  ", DUAL , 6-1 / 185 ,0.93, 162 3 9 ,162,3,9,malik-zaire,https://www.sports-reference.com/cfb/players/malik-zaire-1.html
21,Jeremy Johnson," Carver  (Montgomery, AL)  ", PRO , 6-5 / 215 ,0.9295, 164 11 7 ,164,11,7,jeremy-johnson,https://www.sports-reference.com/cfb/players/jeremy-johnson-1.html
16,Kohl Stewart," St Pius X (Houston, TX)  ", PRO , 6-3 / 190 ,0.9284, 170 12 22 ,170,12,22,kohl-stewart,https://www.sports-reference.com/cfb/players/kohl-stewart-1.html
14,Ryan Burns," Stone Bridge (Ashburn, VA)  ", PRO , 6-5 / 225 ,0.9283, 171 13 8 ,171,13,8,ryan-burns,https://www.sports-reference.com/cfb/players/ryan-burns-1.html
15,Aaron Bailey," Bolingbrook (Bolingbrook, IL)  ", DUAL , 6-2 / 225 ,0.9277, 173 4 6 ,173,4,6,aaron-bailey,https://www.sports-reference.com/cfb/players/aaron-bailey-1.html
18,Damion Terry," Cathedral Prep (Erie, PA)  ", DUAL , 6-4 / 218 ,0.919, 201 5 9 ,201,5,9,damion-terry,https://www.sports-reference.com/cfb/players/damion-terry-1.html
4,Mitch Trubisky," Mentor (Mentor, OH)  ", DUAL , 6-3 / 195 ,0.9172, 206 6 11 ,206,6,11,mitch-trubisky,https://www.sports-reference.com/cfb/players/mitch-trubisky-1.html
27,Anthony Jennings," Marietta (Marietta, GA)  ", PRO , 6-2 / 200 ,0.9171, 207 14 18 ,207,14,18,anthony-jennings,https://www.sports-reference.com/cfb/players/anthony-jennings-1.html
23,Jared Goff," Marin  Catholic (Greenbrae, CA)  ", PRO , 6-4 / 185 ,0.9154, 213 15 25 ,213,15,25,jared-goff,https://www.sports-reference.com/cfb/players/jared-goff-1.html
19,Matt Alviti," Maine South (Park Ridge, IL)  ", DUAL , 6-1 / 180 ,0.914, 219 7 8 ,219,7,8,matt-alviti,https://www.sports-reference.com/cfb/players/matt-alviti-1.html
32,Cord Sandberg," Manatee (Bradenton, FL)  ", DUAL , 6-2 / 200 ,0.9112, 232 8 33 ,232,8,33,cord-sandberg,https://www.sports-reference.com/cfb/players/cord-sandberg-1.html
22,Kenny Hill," Southlake Carroll (Southlake, TX)  ", DUAL , 6-2 / 210 ,0.909, 241 9 34 ,241,9,34,kenny-hill,https://www.sports-reference.com/cfb/players/kenny-hill-1.html
12,Bucky Hodges," Salem (Virginia Beach, VA)  ", DUAL , 6-6 / 225 ,0.9049, 257 10 13 ,257,10,13,bucky-hodges,https://www.sports-reference.com/cfb/players/bucky-hodges-1.html
12,Bucky Hodges," Salem (Virginia Beach, VA)  ", DUAL , 6-6 / 225 ,0.9049, 257 10 13 ,257,10,13,bucky-hodges,https://www.sports-reference.com/cfb/players/bucky-hodges-1.html
42,Ryan Buchanan," Jackson Prep (Jackson, MS)  ", PRO , 6-4 / 205 ,0.9038, 267 16 5 ,267,16,5,ryan-buchanan,https://www.sports-reference.com/cfb/players/ryan-buchanan-1.html
36,Danny Etling," Terre Haute South Vigo (Terre Haute, IN)  ", PRO , 6-2.5 / 210 ,0.8996, 286 17 5 ,286,17,5,danny-etling,https://www.sports-reference.com/cfb/players/danny-etling-1.html
24,Johnny Stanton," Santa Margarita Catholic (Rancho Santa Margarita, CA)  ", DUAL , 6-2 / 215 ,0.8988, 290 11 36 ,290,11,36,johnny-stanton,https://www.sports-reference.com/cfb/players/johnny-stanton-1.html
34,Tyler Bruggman," Brophy College Preparatory (Phoenix, AZ)  ", PRO , 6-2 / 202 ,0.8959, 299 18 5 ,299,18,5,tyler-bruggman,https://www.sports-reference.com/cfb/players/tyler-bruggman-1.html
39,Chris Johnson," Bryan (Bryan, TX)  ", DUAL , 6-5 / 222 ,0.8939, 311 12 42 ,311,12,42,chris-johnson,https://www.sports-reference.com/cfb/players/chris-johnson-1.html
33,TraVon Chapman," Theodore Roosevelt (Kent, OH)  ", DUAL , 6-1 / 195 ,0.893, 319 13 19 ,319,13,19,travon-chapman,https://www.sports-reference.com/cfb/players/travon-chapman-1.html
29,Kyle Bolin," Lexington Catholic (Lexington, KY)  ", PRO , 6-3 / 195 ,0.8919, 322 19 4 ,322,19,4,kyle-bolin,https://www.sports-reference.com/cfb/players/kyle-bolin-1.html
40,DeVante Kincade," Skyline (Dallas, TX)  ", DUAL , 6-0 / 180 ,0.8918, 323 14 45 ,323,14,45,devante-kincade,https://www.sports-reference.com/cfb/players/devante-kincade-1.html
28,Austin Allen," Fayetteville (Fayetteville, AR)  ", PRO , 6-2 / 217 ,0.8913, 329 20 3 ,329,20,3,austin-allen,https://www.sports-reference.com/cfb/players/austin-allen-1.html
20,Connor Mitch," Wakefield (Raleigh, NC)  ", PRO , 6-3 / 220 ,0.8903, 335 21 9 ,335,21,9,connor-mitch,https://www.sports-reference.com/cfb/players/connor-mitch-1.html
82,Anu Solomon," Bishop Gorman (Las Vegas, NV)  ", DUAL , 6-0 / 195 ,0.8882, 343 15 1 ,343,15,1,anu-solomon,https://www.sports-reference.com/cfb/players/anu-solomon-1.html
37,Trent Hosick," Staley (Kansas City, MO)  ", DUAL , 6-2 / 220 ,0.8841, 358 16 4 ,358,16,4,trent-hosick,https://www.sports-reference.com/cfb/players/trent-hosick-1.html
41,Johnny McCrary," Cedar Grove (Ellenwood, GA)  ", DUAL , 6-4 / 200 ,0.8838, 359 17 29 ,359,17,29,johnny-mccrary,https://www.sports-reference.com/cfb/players/johnny-mccrary-1.html
44,Zack Greenlee," Lincoln (Stockton, CA)  ", PRO , 6-2 / 185 ,0.8801, 378 22 45 ,378,22,45,zack-greenlee,https://www.sports-reference.com/cfb/players/zack-greenlee-1.html
50,Riley Ferguson," Butler (Matthews, NC)  ", PRO , 6-3 / 190 ,0.8776, 402 23 12 ,402,23,12,riley-ferguson,https://www.sports-reference.com/cfb/players/riley-ferguson-1.html
26,Sefo Liufau," Bellarmine Prep (Tacoma, WA)  ", DUAL , 6-4 / 220 ,0.8746, 431 18 4 ,431,18,4,sefo-liufau,https://www.sports-reference.com/cfb/players/sefo-liufau-1.html
49,Corwin Cutler," Ocean Lakes (Virginia Beach, VA)  ", PRO , 6-4 / 180 ,0.8721, 456 24 16 ,456,24,16,corwin-cutler,https://www.sports-reference.com/cfb/players/corwin-cutler-1.html
45,Carlis Parker," Statesville (Statesville, NC)  ", DUAL , 6-4 / 190 ,0.8712, 467 19 16 ,467,19,16,carlis-parker,https://www.sports-reference.com/cfb/players/carlis-parker-1.html
48,Davis Webb," Prosper (Prosper, TX)  ", PRO , 6-4 / 195 ,0.8671, 511 25 71 ,511,25,71,davis-webb,https://www.sports-reference.com/cfb/players/davis-webb-1.html
72,Brogan Roback," St. John's Jesuit (Toledo, OH)  ", PRO , 6-4 / 185 ,0.8662, 529 26 29 ,529,26,29,brogan-roback,https://www.sports-reference.com/cfb/players/brogan-roback-1.html
31,Shane Cockerille," Gilman (Baltimore, MD)  ", DUAL , 6-1.5 / 205 ,0.8659, 534 20 12 ,534,20,12,shane-cockerille,https://www.sports-reference.com/cfb/players/shane-cockerille-1.html
51,Chad Kanoff," Harvard Westlake (Studio City, CA)  ", PRO , 6-4 / 190 ,0.8647, 553 27 60 ,553,27,60,chad-kanoff,https://www.sports-reference.com/cfb/players/chad-kanoff-1.html
35,Chris Laviano," Holy Trinity Diocesan (Hicksville, NY)  ", PRO , 6-2 / 200 ,0.8627, 577 28 3 ,577,28,3,chris-laviano,https://www.sports-reference.com/cfb/players/chris-laviano-1.html
2,Jameis Winston," Hueytown  (Hueytown, AL)  ", DUAL , 6-4 / 190 ,0.9915, 16 1 1 ,16,1,1,jameis-winston,https://www.sports-reference.com/cfb/players/jameis-winston-1.html
1,Gunner Kiel," Columbus East (Columbus, IN)  ", PRO , 6-4 / 210 ,0.9878, 26 1 1 ,26,1,1,gunner-kiel,https://www.sports-reference.com/cfb/players/gunner-kiel-1.html
3,Zach Kline," San Ramon Valley (Danville, CA)  ", PRO , 6-2 / 190 ,0.9771, 49 2 6 ,49,2,6,zach-kline,https://www.sports-reference.com/cfb/players/zach-kline-1.html
4,Cyler Miles," Mullen (Denver, CO)  ", DUAL , 6-4 / 215 ,0.9536, 102 2 1 ,102,2,1,cyler-miles,https://www.sports-reference.com/cfb/players/cyler-miles-1.html
6,Anthony Alford," Petal (Petal, MS)  ", DUAL , 6-0 / 200 ,0.9498, 114 3 2 ,114,3,2,anthony-alford,https://www.sports-reference.com/cfb/players/anthony-alford-1.html
7,Tanner Mangum," Eagle (Eagle, ID)  ", PRO , 6-3 / 190 ,0.9475, 123 3 1 ,123,3,1,tanner-mangum,https://www.sports-reference.com/cfb/players/tanner-mangum-1.html
10,Matt Davis," Klein Forest (Houston, TX)  ", DUAL , 6-2 / 211 ,0.947, 124 4 18 ,124,4,18,matt-davis,https://www.sports-reference.com/cfb/players/matt-davis-1.html
9,Connor Brewer," Chaparral (Paradise Valley, AZ)  ", PRO , 6-2 / 195 ,0.9289, 175 4 4 ,175,4,4,connor-brewer,https://www.sports-reference.com/cfb/players/connor-brewer-1.html
8,Chad Kelly," St. Joseph School (Buffalo, NY)  ", DUAL , 6-3 / 205 ,0.9264, 187 5 2 ,187,5,2,chad-kelly,https://www.sports-reference.com/cfb/players/chad-kelly-1.html
40,Chad Voytik," Cleveland (Cleveland, TN)  ", PRO , 6-1 / 205 ,0.9203, 211 5 2 ,211,5,2,chad-voytik,https://www.sports-reference.com/cfb/players/chad-voytik-1.html
12,Bart Houston," De La Salle (Concord, CA)  ", PRO , 6-3 / 200 ,0.9203, 212 6 25 ,212,6,25,bart-houston,https://www.sports-reference.com/cfb/players/bart-houston-1.html
22,Jake Rodrigues," Whitney (Rocklin, CA)  ", PRO , 6-3 / 215 ,0.9176, 227 7 27 ,227,7,27,jake-rodrigues,https://www.sports-reference.com/cfb/players/jake-rodrigues-1.html
14,Greyson Lambert," Wayne County (Jesup, GA)  ", PRO , 6-5 / 208 ,0.9143, 242 8 19 ,242,8,19,greyson-lambert,https://www.sports-reference.com/cfb/players/greyson-lambert-1.html
47,Jeff Lindquist," Mercer Island (Mercer Island, WA)  ", PRO , 6-3 / 225 ,0.9078, 273 9 4 ,273,9,4,jeff-lindquist,https://www.sports-reference.com/cfb/players/jeff-lindquist-1.html
5,Travis Wilson," San Clemente (San Clemente, CA)  ", PRO , 6-6 / 210 ,0.9043, 287 10 33 ,287,10,33,travis-wilson,https://www.sports-reference.com/cfb/players/travis-wilson-1.html
13,Trevor Knight," Reagan (San Antonio, TX)  ", PRO , 6-3 / 195 ,0.9037, 290 11 43 ,290,11,43,trevor-knight,https://www.sports-reference.com/cfb/players/trevor-knight-1.html
45,Tommy Armstrong," Steele (Schertz, TX)  ", DUAL , 6-1 / 200 ,0.9036, 291 6 44 ,291,6,44,tommy-armstrong,https://www.sports-reference.com/cfb/players/tommy-armstrong-1.html
19,Zeke Pike," Dixie Heights (Ft Mitchell, KY)  ", PRO , 6-5 / 229 ,0.9013, 302 12 1 ,302,12,1,zeke-pike,https://www.sports-reference.com/cfb/players/zeke-pike-1.html
35,Maty Mauk," Kenton (Kenton, OH)  ", DUAL , 6-2 / 200 ,0.8991, 317 7 19 ,317,7,19,maty-mauk,https://www.sports-reference.com/cfb/players/maty-mauk-1.html
21,Jalen Overstreet," Tatum (Tatum, TX)  ", DUAL , 6-2 / 212 ,0.8989, 320 8 51 ,320,8,51,jalen-overstreet,https://www.sports-reference.com/cfb/players/jalen-overstreet-1.html
23,Tyler Matthews," Mcpherson (Mcpherson, KS)  ", PRO , 6-3 / 205 ,0.8986, 321 13 1 ,321,13,1,tyler-matthews,https://www.sports-reference.com/cfb/players/tyler-matthews-1.html
11,Ford Childress," The Kinkaid School (Houston, TX)  ", PRO , 6-4 / 210 ,0.8967, 329 14 53 ,329,14,53,ford-childress,https://www.sports-reference.com/cfb/players/ford-childress-1.html
15,Patrick Towles," Highlands (Fort Thomas, KY)  ", PRO , 6-5 / 230 ,0.8932, 354 15 2 ,354,15,2,patrick-towles,https://www.sports-reference.com/cfb/players/patrick-towles-1.html
17,Wes Lunt," Rochester (Rochester, IL)  ", PRO , 6-5 / 195 ,0.8924, 360 16 9 ,360,16,9,wes-lunt,https://www.sports-reference.com/cfb/players/wes-lunt-1.html
41,Robert Gregory," Simeon (Chicago, IL)  ", DUAL , 6-3 / 185 ,0.8915, 366 9 10 ,366,9,10,robert-gregory,https://www.sports-reference.com/cfb/players/robert-gregory-1.html
20,Nathan Peterman," Bartram Trail (Jacksonville, FL)  ", PRO , 6-2 / 210 ,0.8913, 369 17 44 ,369,17,44,nathan-peterman,https://www.sports-reference.com/cfb/players/nathan-peterman-1.html
16,Bennie Coney," Plant City (Plant City, FL)  ", PRO , 6-3 / 205 ,0.8876, 398 18 49 ,398,18,49,bennie-coney,https://www.sports-reference.com/cfb/players/bennie-coney-1.html
18,Tyler O'Connor," Lima Central Catholic (Lima, OH)  ", PRO , 6-2.5 / 205 ,0.8855, 414 19 23 ,414,19,23,tyler-o'connor,https://www.sports-reference.com/cfb/players/tyler-o'connor-1.html
27,T.J. Millweard," All Saints Episcopal (Fort Worth, TX)  ", PRO , 6-4 / 230 ,0.8847, 421 20 63 ,421,20,63,tj-millweard,https://www.sports-reference.com/cfb/players/tj-millweard-1.html
25,Faton Bauta," Dwyer (Palm Beach Gardens, FL)  ", DUAL , 6-2 / 222 ,0.8829, 442 10 58 ,442,10,58,faton-bauta,https://www.sports-reference.com/cfb/players/faton-bauta-1.html
29,Shane Dillon," Christian (El Cajon, CA)  ", PRO , 6-5 / 187 ,0.881, 464 21 49 ,464,21,49,shane-dillon,https://www.sports-reference.com/cfb/players/shane-dillon-1.html
37,Clayton Nicholas," Cooper (Abilene, TX)  ", PRO , 6-3 / 200 ,0.8809, 468 22 73 ,468,22,73,clayton-nicholas,https://www.sports-reference.com/cfb/players/clayton-nicholas-1.html
28,Nate Sudfeld," Modesto Christian (Modesto, CA)  ", PRO , 6-5 / 215 ,0.8786, 501 23 54 ,501,23,54,nate-sudfeld,https://www.sports-reference.com/cfb/players/nate-sudfeld-1.html
26,Brendan Nosovitch," Central Catholic (Allentown, PA)  ", DUAL , 6-2 / 200 ,0.8763, 539 11 17 ,539,11,17,brendan-nosovitch,https://www.sports-reference.com/cfb/players/brendan-nosovitch-1.html
50,Tyler Cameron," Jupiter (Jupiter, FL)  ", DUAL , 6-3 / 215 ,0.8748, 562 12 69 ,562,12,69,tyler-cameron,https://www.sports-reference.com/cfb/players/tyler-cameron-1.html
32,Patton Robinette," Maryville (Maryville, TN)  ", DUAL , 6-5 / 200 ,0.8746, 563 13 13 ,563,13,13,patton-robinette,https://www.sports-reference.com/cfb/players/patton-robinette-1.html
53,Casey Cochran," Masuk (Monroe, CT)  ", PRO , 6-1 / 200 ,0.8744, 567 24 1 ,567,24,1,casey-cochran,https://www.sports-reference.com/cfb/players/casey-cochran-1.html
36,Alec Morris," Allen (Allen, TX)  ", PRO , 6-4 / 235 ,0.8734, 578 25 91 ,578,25,91,alec-morris,https://www.sports-reference.com/cfb/players/alec-morris-1.html
24,Sean Maguire," Seton Hall Preparatory School (West Orange, NJ)  ", PRO , 6-3 / 200 ,0.8731, 583 26 13 ,583,26,13,sean-maguire,https://www.sports-reference.com/cfb/players/sean-maguire-1.html
56,Will Gross," Melrose (Memphis, TN)  ", DUAL , 6-2 / 180 ,0.8724, 590 14 14 ,590,14,14,will-gross,https://www.sports-reference.com/cfb/players/will-gross-1.html
33,Brent Vanderveen," Arroyo Grande (Arroyo Grande, CA)  ", PRO , 6-5 / 210 ,0.8708, 620 27 66 ,620,27,66,brent-vanderveen,https://www.sports-reference.com/cfb/players/brent-vanderveen-1.html
88,Dennis Andrews," Amos P. Godby (Tallahassee, FL)  ", DUAL , 6-0 / 185 ,0.8707, 623 15 75 ,623,15,75,dennis-andrews,https://www.sports-reference.com/cfb/players/dennis-andrews-1.html
42,Bilal Marshall," Dade Christian School (Hialeah, FL)  ", DUAL , 6-2 / 170 ,0.868, 654 16 79 ,654,16,79,bilal-marshall,https://www.sports-reference.com/cfb/players/bilal-marshall-1.html
61,Preston Dewey," St Andrew's Episcopal School (Austin, TX)  ", PRO , 6-3 / 205 ,0.8679, 657 28 110 ,657,28,110,preston-dewey,https://www.sports-reference.com/cfb/players/preston-dewey-1.html
48,Jonathan Wallace," Central (Phenix City, AL)  ", DUAL , 6-1 / 205 ,0.8669, 669 17 22 ,669,17,22,jonathan-wallace,https://www.sports-reference.com/cfb/players/jonathan-wallace-1.html
49,Trenton Norvell," Seabreeze (Daytona Beach, FL)  ", PRO , 6-5 / 197 ,0.8659, 679 29 85 ,679,29,85,trenton-norvell,https://www.sports-reference.com/cfb/players/trenton-norvell-1.html
54,Grant Rohach," Moorpark (Moorpark, CA)  ", PRO , 6-2 / 210 ,0.8659, 680 30 71 ,680,30,71,grant-rohach,https://www.sports-reference.com/cfb/players/grant-rohach-1.html
39,Jalen Whitlow," Prattville (Montgomery, AL)  ", DUAL , 6-2 / 210 ,0.8657, 683 18 23 ,683,18,23,jalen-whitlow,https://www.sports-reference.com/cfb/players/jalen-whitlow-1.html
51,Gray Crow," Countryside (Clearwater, FL)  ", PRO , 6-2 / 220 ,0.8654, 686 31 86 ,686,31,86,gray-crow,https://www.sports-reference.com/cfb/players/gray-crow-1.html
